,rank_val_score,mean_val_score,std_val_score,mean_train_score,std_train_score,activation,batch_size,epochs,neurons_layer_1,neurons_layer_2,neurons_layer_3,dropout_1,dropout_2,learning_rate,mean_fit_time
3,1,-0.6755792697270712,0.00047538729956921944,-0.7284600138664246,0.005582582770692375,relu,256,20,256,128,64,0.5,0.1,0.001,2107.240339199702
0,2,-0.6745220224062601,0.0016052012908576347,-0.7300237019856771,0.003015789620693999,relu,256,20,256,128,64,0.5,0.3,0.001,2104.4913980166116
9,3,-0.6724959214528402,0.0025171954734049375,-0.7340321143468221,0.00709560297363566,relu,256,20,256,128,64,0.3,0.1,0.001,2072.831988414129
6,4,-0.66765030225118,0.0019281187595494116,-0.7293629050254822,0.0047335876704456825,relu,256,20,256,128,64,0.3,0.3,0.001,2158.8724772930145
1,5,-0.5610518852869669,5.407956570491365e-05,-0.5610518852869669,2.7029127343906353e-05,relu,256,20,256,128,64,0.5,0.3,0.01,2141.860651254654
2,5,-0.5610518852869669,5.407956570491365e-05,-0.5610518852869669,2.7029127343906353e-05,relu,256,20,256,128,64,0.5,0.3,0.1,2156.359221855799
4,5,-0.5610518852869669,5.407956570491365e-05,-0.561073919137319,5.5652277999139315e-05,relu,256,20,256,128,64,0.5,0.1,0.01,2177.3691425323486
5,5,-0.5610518852869669,5.407956570491365e-05,-0.5610518852869669,2.7029127343906353e-05,relu,256,20,256,128,64,0.5,0.1,0.1,2174.5984210173287
7,5,-0.5610518852869669,5.407956570491365e-05,-0.5610518852869669,2.7029127343906353e-05,relu,256,20,256,128,64,0.3,0.3,0.01,2115.6745093663535
8,5,-0.5610518852869669,5.407956570491365e-05,-0.5610518852869669,2.7029127343906353e-05,relu,256,20,256,128,64,0.3,0.3,0.1,2055.864514986674
10,5,-0.5610518852869669,5.407956570491365e-05,-0.5610518852869669,2.7029127343906353e-05,relu,256,20,256,128,64,0.3,0.1,0.01,2058.929539759954
11,5,-0.5610518852869669,5.407956570491365e-05,-0.5610518852869669,2.7029127343906353e-05,relu,256,20,256,128,64,0.3,0.1,0.1,2087.811680316925
