,rank_val_score,mean_val_score,std_val_score,mean_train_score,std_train_score,activation,batch_size,epochs,neurons_layer_1,neurons_layer_2,neurons_layer_3,dropout_1,dropout_2,learning_rate,dropout_3,neurons_layer_4,kernel_size,mean_fit_time
39,1,-0.6812615791956583,0.0020161281954997425,-0.7306845188140869,0.002590869546494623,relu,256,20,256,128,64,0.5,0.5,0.0001,0.3,32,3,169.19060866038004
48,2,-0.6803805232048035,0.0008392297634493972,-0.7354417244593302,0.0031035654834308344,relu,256,20,256,128,64,0.5,0.5,0.0001,0.1,32,3,172.12286369005838
54,3,-0.6797637740770975,0.001799702907774922,-0.7336358825365702,0.002470493386795683,relu,256,20,256,128,64,0.5,0.3,0.0001,0.3,32,5,258.8667159875234
57,4,-0.6792792677879333,0.0018869243377810914,-0.7413003842035929,0.0021122605849811515,relu,256,20,256,128,64,0.5,0.3,0.0001,0.3,32,3,168.52187021573386
66,5,-0.6787507136662801,0.0011548824669946937,-0.7402211825052897,0.0019612189078103523,relu,256,20,256,128,64,0.5,0.3,0.0001,0.1,32,3,172.48121317227682
42,6,-0.6785305937131246,0.001475660808483672,-0.7048498392105103,0.0019716651410668076,relu,256,20,256,128,64,0.5,0.5,0.0001,0.3,32,26,1823.6167939503987
51,7,-0.6782662669817606,0.003659654593049996,-0.7055766979853312,0.0034634170741610405,relu,256,20,256,128,64,0.5,0.5,0.0001,0.1,32,26,1800.1795429388683
63,8,-0.6778698960940043,0.0028014802863882337,-0.7320059537887573,0.0013619252491956153,relu,256,20,256,128,64,0.5,0.3,0.0001,0.1,32,5,272.2236183484395
69,9,-0.6778257687886556,0.0005512102507190963,-0.7060391704241434,0.001493351432426537,relu,256,20,256,128,64,0.5,0.3,0.0001,0.1,32,26,1801.9096515973408
45,10,-0.6774734258651733,0.0019232644728612346,-0.7263896862665812,0.0030255034076632544,relu,256,20,256,128,64,0.5,0.5,0.0001,0.1,32,5,269.01909653345746
6,11,-0.6772971947987875,0.0006889536029616263,-0.7082416216532389,0.002213277484113951,relu,128,20,256,128,64,0.5,0.5,0.0001,0.3,32,26,2006.5875924428303
36,12,-0.6771648724873861,0.002459979823940756,-0.7256629665692648,0.004053875879458681,relu,256,20,256,128,64,0.5,0.5,0.0001,0.3,32,5,258.1806433200836
60,13,-0.6771210233370463,0.0017034744713350768,-0.7039908170700073,0.0018916219058232946,relu,256,20,256,128,64,0.5,0.3,0.0001,0.3,32,26,1818.0117570559185
21,14,-0.6770767966906229,0.0021335870260381392,-0.7611442804336548,0.004297584804402435,relu,128,20,256,128,64,0.5,0.3,0.0001,0.3,32,3,188.6785933971405
15,15,-0.6766805450121561,0.0024849571434413177,-0.709254781405131,0.0030451457853069193,relu,128,20,256,128,64,0.5,0.5,0.0001,0.1,32,26,1825.6662845611572
9,16,-0.6762840350468954,0.00026995985411413755,-0.7471367120742798,0.005713433439454837,relu,128,20,256,128,64,0.5,0.5,0.0001,0.1,32,5,299.92974432309467
3,17,-0.6762839555740356,0.0011221952779022022,-0.7565631866455078,0.0041145040576853606,relu,128,20,256,128,64,0.5,0.5,0.0001,0.3,32,3,308.03446165720624
12,18,-0.6761959393819174,0.002599772941386429,-0.7595146298408508,0.0024900810825182916,relu,128,20,256,128,64,0.5,0.5,0.0001,0.1,32,3,187.92067090670267
