,rank_val_score,mean_val_score,std_val_score,mean_train_score,std_train_score,activation,batch_size,epochs,neurons_layer_1,neurons_layer_2,neurons_layer_3,dropout_1,dropout_2,learning_rate,dropout_3,neurons_layer_4,kernel_size,mean_fit_time
48,1,-0.6808650294939677,0.0024631798551975914,-0.7164567510286967,0.0021695751065552394,relu,256,20,256,128,64,0.5,0.5,0.0001,0.1,32,3,199.74542140960693
12,2,-0.6802042524019877,0.0020177947670909756,-0.7349572579065958,0.0005458963717311732,relu,128,20,256,128,64,0.5,0.5,0.0001,0.1,32,3,206.00624084472656
57,3,-0.6795875628789266,0.0035151032817613047,-0.7181305487950643,0.001409576280296961,relu,256,20,256,128,64,0.5,0.3,0.0001,0.3,32,3,199.54096674919128
54,4,-0.678838868935903,0.0013365881179339754,-0.7196061611175537,0.0031658353378424256,relu,256,20,256,128,64,0.5,0.3,0.0001,0.3,32,5,274.35112142562866
30,5,-0.6787949005762736,0.0030450914983790873,-0.7388557195663452,0.003445827033415196,relu,128,20,256,128,64,0.5,0.3,0.0001,0.1,32,3,206.40857617060342
66,6,-0.6787505547205607,0.004261021511855492,-0.7200467387835184,0.0011139136706411884,relu,256,20,256,128,64,0.5,0.3,0.0001,0.1,32,3,199.06258471806845
45,7,-0.6783544023831686,0.003685293639255039,-0.7178222139676412,0.0012895984066838687,relu,256,20,256,128,64,0.5,0.5,0.0001,0.1,32,5,274.9760796229045
9,8,-0.6778256893157959,0.0011533160393619925,-0.7341864506403605,0.0022887140935407475,relu,128,20,256,128,64,0.5,0.5,0.0001,0.1,32,5,291.57606466611225
0,9,-0.6777375539143881,0.003312985022146891,-0.7299577395121256,0.0008751869566643247,relu,128,20,256,128,64,0.5,0.5,0.0001,0.3,32,5,280.68124985694885
39,10,-0.6776495377222697,0.004006114623869172,-0.711479107538859,0.0036332816372336356,relu,256,20,256,128,64,0.5,0.5,0.0001,0.3,32,3,200.29346545537314
21,11,-0.6774293184280396,0.00188989163946342,-0.7361025810241699,0.0023482737517975527,relu,128,20,256,128,64,0.5,0.3,0.0001,0.3,32,3,207.98551972707114
27,12,-0.6768127282460531,0.0035280598490056237,-0.7383710940678915,0.0009465272757414553,relu,128,20,256,128,64,0.5,0.3,0.0001,0.1,32,5,284.35605637232464
36,13,-0.6764600276947021,0.003328638835852086,-0.7111047307650248,0.0015661316349521077,relu,256,20,256,128,64,0.5,0.5,0.0001,0.3,32,5,276.2979413668315
3,14,-0.6764161586761475,0.002281883820331562,-0.7312132318814596,0.00516440996888346,relu,128,20,256,128,64,0.5,0.5,0.0001,0.3,32,3,205.34781138102213
18,15,-0.6761517922083536,0.001690365123366013,-0.7367632786432902,0.000615918330596954,relu,128,20,256,128,64,0.5,0.3,0.0001,0.3,32,5,280.07677523295087
