,criterion,min_samples_leaf,max_depth,min_samples_split,mean_val_score,std_val_score,mean_train_score,std_train_score,rank_val_score,mean_fit_time
146,entropy,1,,10,-0.7220510631219922,0.004415331676232192,-0.9750021898125598,0.0014601319848592592,1,37.84391872088114
145,entropy,1,,5,-0.7211258598660982,0.004346791718615114,-0.9918289365433433,0.0007361849124422865,2,39.24037400881449
144,entropy,1,,2,-0.7189675334454071,0.0025700050040873865,-1.0,0.0,3,40.10565114021301
147,entropy,1,,20,-0.7187031173152443,0.002562943274528909,-0.9538146593001647,0.0005695391468355823,4,36.3506498336792
64,gini,1,,2,-0.7166768738149673,0.004255520251224238,-1.0,0.0,5,34.59811051686605
65,gini,1,,5,-0.7156197680798072,0.004747733531962794,-0.9909259042667066,0.00043949076344713836,6,33.486846367518105
67,gini,1,,20,-0.713725770479046,0.0031123249129005057,-0.9475597702407478,0.002775826787867812,7,30.198708375295002
66,gini,1,,10,-0.7134614474797983,0.0028311155190114436,-0.9698485010614788,0.0015408129018721895,8,31.811769167582195
151,entropy,5,,20,-0.71028994983317,0.003957099519321664,-0.8537574585874393,0.0025807305132151113,9,20.69655728340149
149,entropy,5,,5,-0.7090122868082015,0.0021998570210481324,-0.8588010665998874,0.0028857869136194717,10,22.680258830388386
148,entropy,5,,2,-0.7085278023255349,0.0037383426611496797,-0.8578539935872508,0.0019387959705108161,11,22.65493130683899
150,entropy,5,,10,-0.705840841547713,0.004031078411488825,-0.8582063340279177,0.0003858600005023351,12,22.589287042617798
155,entropy,10,,20,-0.7050480588118004,0.0046967390656435255,-0.7942692499804304,0.0007497359800598571,13,14.7715322971344
154,entropy,10,,10,-0.704959962786749,0.004329416853760636,-0.7956127696567347,0.0016099598246230651,14,14.768781900405884
152,entropy,10,,2,-0.7047837125298241,0.004587210331558302,-0.7933442329898278,0.0011022921087243181,15,14.76466409365336
153,entropy,10,,5,-0.7046074797349458,0.004799555121260849,-0.7952383295360331,0.0012715523116425152,16,14.789332628250122
71,gini,5,,20,-0.7009076969721183,0.004629982382456663,-0.8293542660058999,0.0016017225996664542,17,17.648468017578125
73,gini,10,,5,-0.7002467235845568,0.0018015350227723298,-0.7876398902397111,0.00137746663791249,18,13.359198570251465
74,gini,10,,10,-0.6998942230707069,0.002558029159228083,-0.7885649232382472,0.001478748085304856,19,13.455595970153809
72,gini,10,,2,-0.6994097851534979,0.0011778284338800481,-0.7876178254860768,0.0010137667909341482,20,13.423343102137247
75,gini,10,,20,-0.6992336687722635,0.0019501883250447611,-0.7879922787041788,0.001307920521021772,21,13.392635027567545
69,gini,5,,5,-0.6989254345465218,0.004871420792750013,-0.8428993179412395,0.0005084511547753093,22,19.788408358891804
68,gini,5,,2,-0.6981766561680186,0.004559974466731019,-0.8423707636222386,0.001834425828315131,23,19.780121564865112
70,gini,5,,10,-0.698044177441215,0.0031169328952968343,-0.8427230996971051,0.001614137307348766,24,19.79515592257182
157,entropy,20,,5,-0.6893226127542974,0.0015042332935368498,-0.7387675465689344,0.002973335806057573,25,9.348353942235311
156,entropy,20,,2,-0.6891905589372943,0.0033279971971142365,-0.7387234971013342,0.0030416000495370092,26,9.337841510772705
159,entropy,20,,20,-0.6891465080144275,0.003274101152501658,-0.7380847543539651,0.002727548982659985,27,9.221771717071533
158,entropy,20,,10,-0.6880893033276699,0.0024517203779466203,-0.7388336185874346,0.002979818051998593,28,9.330075105031332
78,gini,20,,10,-0.683904558786236,0.0009210310928337301,-0.735485902707825,0.0019169645493687885,29,8.770994027455648
79,gini,20,,20,-0.6836401950422131,0.001417859965229956,-0.7356841216738589,0.001942802030509867,30,8.768628597259521
76,gini,20,,2,-0.6834641019437074,0.0014531842170896559,-0.7353537601260913,0.0018980564858971836,31,8.725414435068766
77,gini,20,,5,-0.683464061198932,0.0008190200773603943,-0.7355960212833917,0.0019528368949675128,32,8.76424249013265
51,gini,1,15,20,-0.6484008711745196,0.004172499516666338,-0.6645228070633465,0.006419482641560315,33,4.343263705571492
48,gini,1,15,2,-0.6481806573049608,0.0036263393208711913,-0.6662847755804852,0.006153667415603516,34,4.407500505447388
49,gini,1,15,5,-0.6481366238441406,0.003128326174495584,-0.6654037862284823,0.006374144299889557,35,4.361292123794556
50,gini,1,15,10,-0.6478723357689861,0.0035050902400650366,-0.6650293795789147,0.006153694597879072,36,4.349217573801677
63,gini,20,15,20,-0.6466390670871341,0.002752435156533578,-0.6534665114828473,0.006556149218637586,37,4.085297664006551
62,gini,20,15,10,-0.6466390670871341,0.002752435156533578,-0.6534665114828473,0.006556149218637586,37,4.073176225026448
61,gini,20,15,5,-0.6466390670871341,0.002752435156533578,-0.6534665114828473,0.006556149218637586,37,4.074856519699097
60,gini,20,15,2,-0.6466390670871341,0.002752435156533578,-0.6534665114828473,0.006556149218637586,37,4.06379493077596
58,gini,10,15,10,-0.6459342872453581,0.003078119014054658,-0.6545677408965174,0.00610548712592374,41,4.292364438374837
56,gini,10,15,2,-0.6459342872453581,0.003078119014054658,-0.6545677408965174,0.00610548712592374,41,4.3203316529591875
59,gini,10,15,20,-0.6459342872453581,0.003078119014054658,-0.6545677408965174,0.00610548712592374,41,4.303529739379883
57,gini,10,15,5,-0.6459342872453581,0.003078119014054658,-0.6545677408965174,0.00610548712592374,41,4.303603569666545
55,gini,5,15,20,-0.6456258434750571,0.003610929632516234,-0.6569023408503244,0.006167182179752676,45,4.272475242614746
54,gini,5,15,10,-0.645361561220585,0.0030427610630101047,-0.6574089090000924,0.006019944321053521,46,4.377863486607869
53,gini,5,15,5,-0.6452734593748514,0.0032647023826169346,-0.6574089090000924,0.006019944321053521,47,4.405473629633586
52,gini,5,15,2,-0.6451413066062508,0.003160237477416369,-0.6574309330062592,0.006011344736001911,48,4.400921821594238
128,entropy,1,15,2,-0.6426745596979876,0.0017456339489928703,-0.6577393171163943,0.0031980334267364932,49,4.675271828969319
34,gini,1,10,10,-0.64241023669874,0.003219924930788507,-0.6510218744484085,0.004973506420609081,50,3.86942990620931
33,gini,1,10,5,-0.6423221348530063,0.0032586887381252875,-0.651242117420609,0.005097326782102587,51,3.8557426929473877
35,gini,1,10,20,-0.6422340330072727,0.003553081111395505,-0.6507355521813742,0.005171908042485879,52,3.8366823196411133
32,gini,1,10,2,-0.6422340271865905,0.003238238056371424,-0.6514183109252095,0.005055643134739161,53,3.854167381922404
129,entropy,1,15,5,-0.642145989368361,0.0014781889459584668,-0.6571887067753593,0.003167354079309564,54,4.650771538416545
131,entropy,1,15,20,-0.6419697973182581,0.0017886113864227352,-0.656638093523791,0.0033006621241097643,55,4.6146829922993975
141,entropy,20,15,5,-0.6417496707589323,0.0014840735092690766,-0.6464407560127946,0.0035260978003959133,56,4.071872075398763
140,entropy,20,15,2,-0.6417496707589323,0.0014840735092690766,-0.6464407560127946,0.0035260978003959133,56,4.073633432388306
143,entropy,20,15,20,-0.6417496707589323,0.0014840735092690766,-0.6464407560127946,0.0035260978003959133,56,4.05844243367513
142,entropy,20,15,10,-0.6417496707589323,0.0014840735092690766,-0.6464407560127946,0.0035260978003959133,56,4.083574930826823
130,entropy,1,15,10,-0.641749577628017,0.0016954735502869055,-0.6567261953695248,0.0030595409219222767,60,4.637680530548096
138,entropy,10,15,10,-0.6415293753998227,0.0009748004769905679,-0.6475419839711978,0.003357152703291315,61,4.356974283854167
137,entropy,10,15,5,-0.6415293753998227,0.0009748004769905679,-0.6475419839711978,0.003357152703291315,61,4.3693695068359375
139,entropy,10,15,20,-0.6415293753998227,0.0009748004769905679,-0.6475419839711978,0.003357152703291315,61,4.385285218556722
136,entropy,10,15,2,-0.6415293753998227,0.0009748004769905679,-0.6475419839711978,0.003357152703291315,61,4.362306594848633
133,entropy,5,15,5,-0.6413531076808513,0.0013720237892740665,-0.6498545613741047,0.0032111273358918246,65,4.41063380241394
132,entropy,5,15,2,-0.6413090567579843,0.001423878571869556,-0.6498986093864382,0.0032012493509578277,66,4.430049975713094
134,entropy,5,15,10,-0.6411769039893839,0.001445614064705655,-0.649832537367938,0.0032516036648461743,67,4.4064938227335615
135,entropy,5,15,20,-0.6411768923480193,0.0017472199958313479,-0.6495021699991037,0.00318194663886511,68,4.336698452631633
39,gini,5,10,20,-0.640427985914508,0.0038775188459185526,-0.6469913940038966,0.005079410079884457,69,3.800789753595988
36,gini,5,10,2,-0.640383964095052,0.0034207701139940174,-0.6472116384313639,0.005010794999734681,70,3.8392159938812256
37,gini,5,10,5,-0.640383964095052,0.003264016991050784,-0.6472116384313639,0.005010794999734681,70,3.847672621409098
42,gini,10,10,10,-0.6401637676875399,0.002727102286834754,-0.6450091897908908,0.004930278046183022,72,3.8431745370229087
43,gini,10,10,20,-0.6401637676875399,0.002727102286834754,-0.6450091897908908,0.004930278046183022,72,3.849377711613973
41,gini,10,10,5,-0.6401637676875399,0.002727102286834754,-0.6450091897908908,0.004930278046183022,72,3.8483858903249106
40,gini,10,10,2,-0.6401637676875399,0.002727102286834754,-0.6450091897908908,0.004930278046183022,72,3.845404783884684
38,gini,5,10,10,-0.6400315567121173,0.00330234634157039,-0.6471896144251973,0.005029601750556814,76,3.8564983208974204
46,gini,20,10,10,-0.6398114417941558,0.002417719827793562,-0.6441722513617548,0.00532693090520731,77,3.7586844762166343
47,gini,20,10,20,-0.6398114417941558,0.002417719827793562,-0.6441722513617548,0.00532693090520731,77,3.767914374669393
44,gini,20,10,2,-0.6398114417941558,0.002417719827793562,-0.6441722513617548,0.00532693090520731,77,3.765892505645752
45,gini,20,10,5,-0.6398114417941558,0.002417719827793562,-0.6441722513617548,0.00532693090520731,77,3.7765515645345054
112,entropy,1,10,2,-0.63906252371928,0.0018573749410117594,-0.6457360227418601,0.0011482542259196873,81,4.058696985244751
113,entropy,1,10,5,-0.6389744044114997,0.0022511935219602566,-0.6455598263267263,0.0011635168581032862,82,4.073251088460286
115,entropy,1,10,20,-0.6389303709506794,0.0020463422966976665,-0.6453175535272923,0.0012751127866478089,83,4.0443893273671465
114,entropy,1,10,10,-0.6388863258484948,0.0019224369958405197,-0.6454056510072258,0.0013060637303805647,84,4.057642062505086
117,entropy,5,10,5,-0.6381814877998967,0.0028208211836382876,-0.6416394702788482,0.0010822012968162563,85,3.843725840250651
116,entropy,5,10,2,-0.63813743687703,0.002838211681733857,-0.6416394702788482,0.0010822012968162563,86,3.8582193851470947
118,entropy,5,10,10,-0.63813743687703,0.002838211681733857,-0.6416394702788482,0.0010822012968162563,86,3.859306494394938
