,n_neighbors,weights,mean_val_score,std_val_score,mean_train_score,std_train_score,rank_val_score,mean_fit_time
18,28,uniform,-0.5555457574071906,0.004210943040201191,-0.6165096324757432,0.002480216706625083,1,1.297629992167155
19,28,distance,-0.5534754105979071,0.005517884530122541,-1.0,0.0,2,1.0830578009287517
2,4,uniform,-0.5534313189302648,0.0033495921129969037,-0.7301780051661094,0.0019267769376635643,3,1.4213199615478516
10,16,uniform,-0.5531230963458875,0.006646694215923744,-0.6399215861557103,0.003216985119228121,4,1.3529558181762695
14,22,uniform,-0.5520220153567291,0.00617024346137257,-0.6265087350127723,0.002983094852693849,5,1.3646551767985027
17,25,distance,-0.5518896122987943,0.00429141594145836,-1.0,0.0,6,1.337218205134074
6,10,uniform,-0.5507442999456208,0.005421024830622299,-0.6620121489447417,0.0015088829415227348,7,1.291528622309367
16,25,uniform,-0.54920264570029,0.004137728615511209,-0.6132059806164006,0.0033127533382634813,8,1.2814420064290364
13,19,distance,-0.5484980055548866,0.0047969316919238975,-1.0,0.0,9,1.3234832286834717
15,22,distance,-0.5477929579617293,0.005901575235241728,-1.0,0.0,10,1.2710097630818684
12,19,uniform,-0.546251554005733,0.0048407898301456136,-0.624350293637165,0.0034379175039968893,11,1.2912307580312092
11,16,distance,-0.5449738444153068,0.006265013620744251,-1.0,0.0,12,1.333635727564494
9,13,distance,-0.5441371329908536,0.004928355879282909,-1.0,0.0,13,1.3735180695851643
8,13,uniform,-0.5418025737752843,0.004702353433683642,-0.6405162983539464,0.0029540490445928965,14,1.39457901318868
7,10,distance,-0.5412296265645877,0.00476665994442501,-1.0,0.0,15,1.3314591248830159
5,7,distance,-0.5402164786213793,0.004348581286358816,-1.0,0.0,16,1.3541223208109539
4,7,uniform,-0.5387628563735958,0.004321065069468875,-0.6785084817381565,0.003245235537527963,17,1.3780767917633057
3,4,distance,-0.5385427065315412,0.00246049722324258,-1.0,0.0,18,1.279338280359904
1,1,distance,-0.527089780903003,0.006135924123092591,-1.0,0.0,19,1.6233936150868733
0,1,uniform,-0.527089780903003,0.006135924123092591,-1.0,0.0,19,1.4029184182484944
