,n_neighbors,weights,mean_val_score,std_val_score,mean_train_score,std_train_score,rank_val_score,mean_fit_time
18,28,uniform,-0.5563827016589317,0.0029680423595670816,-0.6186018519403805,0.0015589464292471878,1,0.18534390131632486
14,22,uniform,-0.5559422040716276,0.0009190527806998589,-0.6253413753699343,0.00045258054527355136,2,0.22209874788920084
19,28,distance,-0.5551053471301196,0.0030726454311837247,-1.0,0.0,3,0.1922279198964437
17,25,distance,-0.5548850343089634,0.0008639100130210746,-1.0,0.0,4,0.18729734420776367
16,25,uniform,-0.5525063659637052,0.0008280400881283531,-0.6156506511219734,0.001558362921606445,5,0.24015259742736816
10,16,uniform,-0.5524180545734124,0.003779284953328283,-0.635759034437533,0.0023032558467652067,6,0.18212811152140299
15,22,distance,-0.5514933868202805,0.002039146711238312,-1.0,0.0,7,0.21056143442789713
13,19,distance,-0.5507443697938071,0.0015514318170996061,-1.0,0.0,8,0.21180152893066406
6,10,uniform,-0.5495548901041232,0.004253234725080822,-0.6594571750447317,0.004560627458215225,9,0.221327543258667
11,16,distance,-0.5489824201893668,0.001698105113316969,-1.0,0.0,10,0.2071551481882731
2,4,uniform,-0.5488501219037114,0.0032212970001016285,-0.7197383584740115,0.0009657880222014635,11,0.21518421173095703
12,19,uniform,-0.5486300011650678,0.0018535852995916488,-0.624130066672898,0.0010943795833423542,12,0.19850675264994302
9,13,distance,-0.5453704540588454,0.0015110139191479395,-1.0,0.0,13,0.2561238606770833
8,13,uniform,-0.543520390967307,0.0015657171554302367,-0.641595473200849,0.0006487378498923778,14,0.2256182829538981
7,10,distance,-0.5433879762680077,0.004936776274243132,-1.0,0.0,15,0.22813804944356283
5,7,distance,-0.537661821949895,0.002905078791096646,-1.0,0.0,16,0.22691933314005533
4,7,uniform,-0.5358117413963099,0.002948563425756104,-0.674301790325844,0.002123086176254554,17,0.22046613693237305
3,4,distance,-0.5328163775929625,0.0023101859042438666,-1.0,0.0,18,0.21078101793924967
1,1,distance,-0.5284118615538167,0.005224384539712109,-1.0,0.0,19,0.2215876579284668
0,1,uniform,-0.5284118615538167,0.005224384539712109,-1.0,0.0,19,0.17705512046813965
