,n_neighbors,weights,mean_val_score,std_val_score,mean_train_score,std_train_score,rank_val_score,mean_fit_time
14,22,uniform,-0.5551934256931245,0.0028691716016901944,-0.6272795795944076,0.0021043389596880325,1,1.4657631715138753
10,16,uniform,-0.5532991079548424,0.0043113799069040264,-0.6358249987662976,0.0030924782933522033,2,1.4139251708984375
6,10,uniform,-0.5529466540064502,0.003580113932348834,-0.6601180480327363,0.002645477525085167,3,1.4883713722229004
18,28,uniform,-0.5519779295097691,0.0024586073750566865,-0.6153202561030721,0.0020455142083573735,4,1.4957506656646729
19,28,distance,-0.5506565124167259,0.004170728841182444,-1.0,0.0,5,1.409265359242757
15,22,distance,-0.5501717892860891,0.0020503348702598126,-1.0,0.0,6,1.5169182618459065
13,19,distance,-0.5474847528393987,0.002053442256751456,-1.0,0.0,7,1.540290117263794
11,16,distance,-0.5468680573813095,0.002661898686460958,-1.0,0.0,8,1.53254230817159
17,25,distance,-0.5464717620546096,0.004890529919431841,-1.0,0.0,9,1.6381043593088787
12,19,uniform,-0.5452382663661518,0.0019875020938866107,-0.6228085913764941,0.0028714038576091922,10,1.496738115946452
2,4,uniform,-0.5450621616262818,0.003764452994083353,-0.7258831653395289,0.0029094072933531718,11,1.3207672437032063
16,25,uniform,-0.5444014559901013,0.0049773795673114475,-0.6130737827345326,0.0016897890320005308,12,1.519002914428711
9,13,distance,-0.5440928958061565,0.004882484013015531,-1.0,0.0,13,1.4916095733642578
7,10,distance,-0.5423307832226146,0.00547720316870405,-1.0,0.0,14,1.4237199624379475
8,13,uniform,-0.5421107032287464,0.004606587954509116,-0.6369922987432011,0.0023884592793491904,15,1.4393479824066162
5,7,distance,-0.5386747952726375,0.005239102535441003,-1.0,0.0,16,1.4367117087046306
4,7,uniform,-0.5370009358725664,0.005177901538400259,-0.6753809870017471,0.0029681918819050804,17,1.4004820187886555
1,1,distance,-0.5307020729917272,0.0011706653615118812,-1.0,0.0,18,1.3994050025939941
0,1,uniform,-0.5307020729917272,0.0011706653615118812,-1.0,0.0,18,1.3243074417114258
3,4,distance,-0.5299973164326799,0.003513928418106702,-1.0,0.0,20,1.5109113852183025
