,n_neighbors,weights,mean_val_score,std_val_score,mean_train_score,std_train_score,rank_val_score,mean_fit_time
17,25,distance,-0.714562452800088,0.00525828580226511,-1.0,0.0,1,0.005980889002482097
16,25,uniform,-0.7129326385022016,0.005126513053470774,-0.7477316154084628,0.009630458501371134,2,0.00613252321879069
13,19,distance,-0.7093645952395388,0.008622078340260174,-1.0,0.0,3,0.006034533182779948
12,19,uniform,-0.7074704986871799,0.00851035475024917,-0.7497799309321694,0.010609132115486693,4,0.006035327911376953
19,28,distance,-0.7055322813637681,0.006013284813895646,-1.0,0.0,5,0.0059557755788167315
9,13,distance,-0.7037262633744144,0.009640779786230702,-1.0,0.0,6,0.006057182947794597
18,28,uniform,-0.703373896736255,0.005394100991785087,-0.733679999689155,0.009683246234132706,7,0.006170113881429036
8,13,uniform,-0.7020083530514764,0.009640829774922489,-0.7512996819500084,0.013401194354851279,8,0.005832751592000325
15,22,distance,-0.6995416119638954,0.006884117094793433,-1.0,0.0,9,0.006153583526611328
14,22,uniform,-0.697559413565803,0.006459001739902232,-0.7321382872416171,0.010377042280015457,10,0.005935986836751302
11,16,distance,-0.6895865224851091,0.009540976394082754,-1.0,0.0,11,0.00620722770690918
10,16,uniform,-0.687428137857596,0.009324132335798485,-0.728966817256209,0.013077906055088193,12,0.0059816837310791016
5,7,distance,-0.6853135829670262,0.015211798976472152,-1.0,0.0,13,0.006185452143351237
4,7,uniform,-0.6835956726440883,0.015119343875305098,-0.7574667820460314,0.02417474978238608,14,0.006488482157389323
7,10,distance,-0.6769442277598485,0.014001071220183648,-1.0,0.0,15,0.005873680114746094
6,10,uniform,-0.6750941763096745,0.013816016408129,-0.7218971258293583,0.0186626981243279,16,0.005893866221110026
3,4,distance,-0.6171248556354402,0.03785173239191979,-1.0,0.0,17,0.00614476203918457
2,4,uniform,-0.6147461872901818,0.03824675047212506,-0.6604936872931947,0.07013239327623198,18,0.007009267807006836
1,1,distance,-0.5651043944008576,0.00011125105468604807,-1.0,0.0,19,0.0073833465576171875
0,1,uniform,-0.5651043944008576,0.00011125105468604807,-1.0,0.0,19,0.00879232088724772
