,n_neighbors,weights,mean_val_score,std_val_score,mean_train_score,std_train_score,rank_val_score,mean_fit_time
18,28,uniform,-0.5342700696889325,0.0013874967714644017,-0.6001233789656945,0.0013875243775824863,1,2.159752527872721
14,22,uniform,-0.5341379518444253,0.001411114648137108,-0.6107391463990582,0.002862826137230505,2,2.1100331942240396
6,10,uniform,-0.533609364052752,0.004858032762728172,-0.6500528356402729,0.0014231053522261701,3,2.205281416575114
2,4,uniform,-0.5311427568408615,0.0023484462121850106,-0.7159720715111652,0.0030012655703302283,4,2.1233447392781577
10,16,uniform,-0.5302175885090606,0.0007856325409716684,-0.6241520208262635,0.0016244334500615282,5,2.2277189095815024
19,28,distance,-0.5296449788979315,0.00024491836751025346,-0.999933926526233,2.0580578827054537e-09,6,1.8736942609151204
17,25,distance,-0.5295569119762912,0.000966929823803413,-0.999933926526233,2.0580578827054537e-09,7,2.126293500264486
15,22,distance,-0.5287199444418212,0.002646624742460279,-0.999933926526233,2.0580578827054537e-09,8,1.9176563421885173
16,25,uniform,-0.5272663396560843,0.0006710184821448641,-0.6005197586870945,0.002479393360570102,9,2.087297042210897
13,19,distance,-0.5263854725364848,0.0027680955894911234,-0.999933926526233,2.0580578827054537e-09,10,2.2793468634287515
12,19,uniform,-0.525063950671162,0.0018979804460518424,-0.6105629368865242,0.0032500403305139357,11,2.220628341039022
11,16,distance,-0.5230817231696586,0.0017608060794989454,-0.999933926526233,2.0580578827054537e-09,12,2.2673592567443848
7,10,distance,-0.5193814805729376,0.001376861735503572,-0.999933926526233,2.0580578827054537e-09,13,2.2076355616251626
9,13,distance,-0.5192935184235767,0.004018467533669762,-0.999933926526233,2.0580578827054537e-09,14,2.3685328165690103
5,7,distance,-0.5182806498731137,0.007357314052087675,-0.999933926526233,2.0580578827054537e-09,15,2.2989331086476645
8,13,uniform,-0.5180160824052139,0.0038562415990604417,-0.6288873422314452,0.0033764974766650074,16,2.211900552113851
4,7,uniform,-0.5175758409279266,0.0072802484280065725,-0.6681349492672929,0.0008022423815374197,17,2.090951760609945
1,1,distance,-0.513743288404186,9.42939826636443e-05,-0.999933926526233,2.0580578827054537e-09,18,2.021472771962484
0,1,uniform,-0.513743288404186,9.42939826636443e-05,-0.999933926526233,2.0580578827054537e-09,18,2.060112555821737
3,4,distance,-0.5125099091293722,0.0005403653458869825,-0.999933926526233,2.0580578827054537e-09,20,1.928470214207967
