,penalty,C,mean_val_score,std_val_score,mean_train_score,std_train_score,rank_val_score,mean_fit_time
1,l2,0.001,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,1,0.5212152004241943
3,l2,0.01,-0.5602590257127938,0.0002840673110204454,-0.5601929418779433,0.0003194036047013047,2,0.6929712295532227
0,none,0.001,-0.5591577002549831,0.001339942948067472,-0.5626596422107498,0.0012566415216225906,3,22.9061066309611
2,none,0.01,-0.5591577002549831,0.001339942948067472,-0.5626596422107498,0.0012566415216225906,3,24.933135112126667
4,none,0.1,-0.5591577002549831,0.001339942948067472,-0.5626596422107498,0.0012566415216225906,3,25.710787932078045
6,none,1,-0.5591577002549831,0.001339942948067472,-0.5626596422107498,0.0012566415216225906,3,22.836163838704426
8,none,10,-0.5591577002549831,0.001339942948067472,-0.5626596422107498,0.0012566415216225906,3,22.870532035827637
10,none,100,-0.5591577002549831,0.001339942948067472,-0.5626596422107498,0.0012566415216225906,3,21.40327246983846
12,none,1000,-0.5591577002549831,0.001339942948067472,-0.5626596422107498,0.0012566415216225906,3,21.635000069936115
13,l2,1000,-0.5590255649484293,0.001148723787579863,-0.5625495178141161,0.0012919544697933107,10,17.57900349299113
9,l2,10,-0.5587612186664529,0.001990412556119375,-0.562241167175115,0.0016074976255000036,11,5.986202875773112
7,l2,1,-0.558673052793215,0.003300595550462966,-0.5609417333480781,0.0010912868794843392,12,3.9747188886006675
11,l2,100,-0.5586291066426277,0.00143008018562654,-0.5624173708665824,0.0014155724753417008,13,8.135356982549032
5,l2,0.1,-0.557571983445421,0.0031839669038406146,-0.5601048458532766,0.0015925667309078257,14,1.9030520121256511
