,penalty,C,mean_val_score,std_val_score,mean_train_score,std_train_score,rank_val_score,mean_fit_time
11,l2,100,-0.7915163591902937,0.0031034857243632504,-1.0,0.0,1,2.9054669539133706
13,l2,1000,-0.7912079969095437,0.002808845776946392,-1.0,0.0,2,2.5210713545481362
9,l2,10,-0.7900187093023722,0.0034600906940059546,-0.9996696340864325,9.343582881245819e-05,3,2.829688628514608
0,none,0.001,-0.7857459909702128,0.003898235718402872,-1.0,0.0,4,1.2344121932983398
2,none,0.01,-0.7857459909702128,0.003898235718402872,-1.0,0.0,4,1.1513456503550212
4,none,0.1,-0.7857459909702128,0.003898235718402872,-1.0,0.0,4,1.2211368878682454
6,none,1,-0.7857459909702128,0.003898235718402872,-1.0,0.0,4,1.160183270772298
8,none,10,-0.7857459909702128,0.003898235718402872,-1.0,0.0,4,1.146762450536092
10,none,100,-0.7857459909702128,0.003898235718402872,-1.0,0.0,4,1.1889702479044597
12,none,1000,-0.7857459909702128,0.003898235718402872,-1.0,0.0,4,1.18427570660909
7,l2,1,-0.7627083361854675,0.003817674149868469,-0.9450489229374727,0.0009363893071870752,11,1.7859485149383545
5,l2,0.1,-0.6333363519391207,0.0014031297275377743,-0.6557351383762894,0.0012976618844790025,12,0.6348726749420166
1,l2,0.001,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,13,0.21483063697814941
3,l2,0.01,-0.5610518899382569,5.4085014738265216e-05,-0.5610959406834459,6.963551052456653e-05,13,0.2615188757578532
