,penalty,C,mean_val_score,std_val_score,mean_train_score,std_train_score,rank_val_score,mean_fit_time
1,l2,0.001,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,1,0.253672997156779
3,l2,0.01,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,1,0.3229328791300456
5,l2,0.1,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,1,0.3633970419565837
7,l2,1,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,1,0.25598398844401044
9,l2,10,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,1,0.30981874465942383
11,l2,100,-0.5610078390153902,2.73456665568127e-05,-0.5610298657544124,5.6707280383930955e-05,6,0.3452165126800537
13,l2,1000,-0.5586733612893714,0.0020398142745371986,-0.5596643322588081,0.001004441156917914,7,0.6112397511800131
0,none,0.001,-0.5561626333064278,0.003680345550738675,-0.5576160472957019,0.002526280227800827,8,0.4767783482869466
2,none,0.01,-0.5561626333064278,0.003680345550738675,-0.5576160472957019,0.002526280227800827,8,0.4464257558186849
4,none,0.1,-0.5561626333064278,0.003680345550738675,-0.5576160472957019,0.002526280227800827,8,0.45020333925882977
6,none,1,-0.5561626333064278,0.003680345550738675,-0.5576160472957019,0.002526280227800827,8,0.4428982734680176
8,none,10,-0.5561626333064278,0.003680345550738675,-0.5576160472957019,0.002526280227800827,8,0.4433109760284424
10,none,100,-0.5561626333064278,0.003680345550738675,-0.5576160472957019,0.002526280227800827,8,0.4471084276835124
12,none,1000,-0.5561626333064278,0.003680345550738675,-0.5576160472957019,0.002526280227800827,8,0.4419878323872884
