,kernel,C,gamma,mean_val_score,std_val_score,mean_train_score,std_train_score,rank_val_score,mean_fit_time
52,rbf,10,0.1,-0.7927937719259278,0.003008228919987976,-0.9996255860740989,0.00015572912514120066,1,593.8708336353302
55,sigmoid,10,0.1,-0.7920889979048339,0.0037147224685094536,-0.9914324826033417,0.0003507802922482158,2,347.47095187505084
57,linear,10,1,-0.7920889746221049,0.002907490066933815,-0.9999779759938333,3.114664821877069e-05,3,517.435508886973
53,linear,10,0.1,-0.7920889746221049,0.002907490066933815,-0.9999779759938333,3.114664821877069e-05,3,519.0048540433248
49,linear,10,0.01,-0.7920889746221049,0.002907490066933815,-0.9999779759938333,3.114664821877069e-05,3,517.9732307593027
45,linear,10,0.001,-0.7920889746221049,0.002907490066933815,-0.9999779759938333,3.114664821877069e-05,3,518.0057463645935
41,linear,10,0.0001,-0.7920889746221049,0.002907490066933815,-0.9999779759938333,3.114664821877069e-05,3,516.9551153977712
29,linear,1,0.01,-0.7920009077004645,0.0038203715434566984,-0.9915866535570421,0.00030651871209334006,8,335.130029519399
37,linear,1,1,-0.7920009077004645,0.0038203715434566984,-0.9915866535570421,0.00030651871209334006,8,334.77005910873413
33,linear,1,0.1,-0.7920009077004645,0.0038203715434566984,-0.9915866535570421,0.00030651871209334006,8,335.4822831948598
25,linear,1,0.001,-0.7920009077004645,0.0038203715434566984,-0.9915866535570421,0.00030651871209334006,8,334.1847077210744
21,linear,1,0.0001,-0.7920009077004645,0.0038203715434566984,-0.9915866535570421,0.00030651871209334006,8,334.1194091637929
39,sigmoid,1,1,-0.7883889415699432,0.004850633822058176,-0.9689014309593756,0.0007630656894618628,13,259.7328972021739
59,sigmoid,10,1,-0.7871554633435321,0.002375988977004417,-0.9996255889846323,0.00017341313195602104,14,560.916687409083
56,rbf,10,1,-0.784336303231652,0.002153803884883674,-1.0,0.0,15,632.0515863100687
36,rbf,1,1,-0.7628844234632909,0.002013943841738754,-0.9985023355647956,0.0002715249940970938,16,436.68448487917584
48,rbf,10,0.01,-0.6570786177658583,0.0014237960336157887,-0.7031319318445636,0.0021484492137615785,17,207.26911465326944
32,rbf,1,0.1,-0.643027048570473,0.00237418815711756,-0.6760637748509163,0.000798529855002316,18,210.24430330594382
17,linear,0.1,1,-0.5987579083280737,0.0014479406546621474,-0.614417187444768,0.0018071558558558,19,172.69639571507773
1,linear,0.1,0.0001,-0.5987579083280737,0.0014479406546621474,-0.614417187444768,0.0018071558558558,19,170.29168701171875
9,linear,0.1,0.01,-0.5987579083280737,0.0014479406546621474,-0.614417187444768,0.0018071558558558,19,171.62276911735535
13,linear,0.1,0.1,-0.5987579083280737,0.0014479406546621474,-0.614417187444768,0.0018071558558558,19,172.71719908714294
51,sigmoid,10,0.01,-0.5987579083280737,0.0014479406546621474,-0.614417187444768,0.0018071558558558,19,181.56741984685263
5,linear,0.1,0.001,-0.5987579083280737,0.0014479406546621474,-0.614417187444768,0.0018071558558558,19,171.59822098414102
35,sigmoid,1,0.1,-0.598713857405207,0.0014118467051113261,-0.6143951634386013,0.0017783712254866844,25,180.39787896474203
19,sigmoid,0.1,1,-0.5969519019800843,0.0016526060983804917,-0.6088009552719852,0.0011705017362549264,26,176.24982150395712
58,poly,10,1,-0.5759404615922052,0.001161074640515604,-1.0,0.0,27,596.1980859438578
38,poly,1,1,-0.5695973964507622,0.000490110168061088,-1.0,0.0,28,471.4675229390462
16,rbf,0.1,1,-0.5629019472091134,0.0007013757891589135,-0.564531778782523,0.0006918279199598696,29,242.49943367640176
43,sigmoid,10,0.0001,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,178.9646611213684
